Campaign,app,os,date,Installs,spend,cpi
MSK,real,android,2019-02-11,70.0,3581.0499999999984,51.15785714285712
MSK,real,android,2019-02-12,110.0,8016.200000000003,72.87454545454548
MSK,real,android,2019-02-13,120.0,9873.609999999997,82.28008333333331
MSK,real,android,2019-02-14,46.0,4454.050000000001,96.8271739130435
MSK,real,android,2019-02-15,95.0,10370.14,109.15936842105262
MSK,real,android,2019-02-16,61.0,5114.170000000002,83.83885245901642
MSK,real,android,2019-02-17,53.0,4299.48,81.1222641509434
MSK,real,android,2019-02-18,78.0,5848.880000000001,74.98564102564104
MSK,real,android,2019-02-19,60.0,5234.829999999999,87.24716666666664
MSK,real,android,2019-02-20,45.0,3295.309999999998,73.22911111111107
MSK,real,android,2019-02-21,45.0,5277.11,117.2691111111111
MSK,real,android,2019-02-22,21.0,1904.6000000000001,90.6952380952381
MSK,real,android,2019-02-23,27.0,1696.4099999999996,62.829999999999984
MSK,real,android,2019-02-24,63.0,4309.760000000001,68.40888888888891
MSK,real,android,2019-02-25,72.0,4022.78,55.871944444444445
MSK,real,android,2019-02-26,119.0,5709.249999999999,47.97689075630252
MSK,real,android,2019-02-27,83.0,5491.499999999999,66.16265060240963
MSK,real,android,2019-02-28,130.0,6810.840000000003,52.391076923076945
MSK,real,android,2019-03-01,142.0,7606.95,53.57007042253521
MSK,real,android,2019-03-02,234.0,11034.789999999997,47.15722222222221
MSK,real,android,2019-03-03,324.0,15925.77,49.15361111111111
MSK,real,android,2019-03-04,284.0,13110.76,46.164647887323945
MSK,real,android,2019-03-05,239.0,11796.799999999997,49.35899581589957
MSK,real,android,2019-03-06,61.0,3039.7199999999993,49.83147540983605
MSK,real,android,2019-03-07,100.0,4790.449999999999,47.90449999999999
MSK,real,android,2019-03-08,160.0,8351.419999999998,52.19637499999999
MSK,real,android,2019-03-09,143.0,7919.419999999999,55.38055944055944
MSK,real,android,2019-03-10,164.0,7782.660000000001,47.45524390243903
MSK,real,android,2019-03-11,78.0,3659.61,46.918076923076924
MSK,real,ios,2019-03-01,8.0,734.3899999999999,91.79874999999998
MSK,real,ios,2019-03-02,17.0,957.7999999999997,56.341176470588216
MSK,real,ios,2019-03-03,17.0,942.58,55.445882352941176
MSK,real,ios,2019-03-04,14.0,1329.9499999999994,94.99642857142852
MSK,real,ios,2019-03-05,12.0,940.2300000000001,78.3525
MSK,real,ios,2019-03-06,5.0,650.5999999999999,130.11999999999998
MSK,real,ios,2019-03-07,6.0,387.0100000000001,64.50166666666668
MSK,real,ios,2019-03-08,12.0,602.9500000000002,50.245833333333344
MSK,real,ios,2019-03-09,17.0,764.4,44.96470588235294
MSK,real,ios,2019-03-10,18.0,1469.6699999999998,81.64833333333333
MSK,real,ios,2019-03-11,7.0,284.31999999999994,40.617142857142845
MSK,real,server,2019-02-11,0.0,1518.2299999999998,inf
MSK,real,server,2019-02-12,0.0,4743.320000000001,inf
MSK,real,server,2019-02-13,0.0,5760.160000000002,inf
MSK,real,server,2019-02-14,0.0,2111.21,inf
MSK,real,server,2019-02-15,0.0,7775.55,inf
MSK,real,server,2019-02-16,0.0,906.6699999999998,inf
MSK,real,server,2019-02-17,0.0,2284.57,inf
MSK,real,server,2019-02-18,0.0,1514.9900000000002,inf
MSK,real,server,2019-02-19,0.0,1586.4099999999999,inf
MSK,real,server,2019-02-20,0.0,725.12,inf
MSK,real,server,2019-02-21,0.0,903.0199999999999,inf
MSK,real,server,2019-02-22,0.0,93.99000000000001,inf
MSK,real,server,2019-02-23,0.0,10.76,inf
MSK,real,server,2019-02-24,0.0,390.98,inf
MSK,real,server,2019-02-25,0.0,513.8199999999999,inf
MSK,real,server,2019-02-26,0.0,1524.93,inf
MSK,real,server,2019-02-27,0.0,424.02,inf
MSK,real,server,2019-02-28,0.0,2626.58,inf
MSK,real,server,2019-03-01,0.0,509.36999999999995,inf
MSK,real,server,2019-03-02,0.0,8317.96,inf
MSK,real,server,2019-03-03,0.0,1501.97,inf
MSK,real,server,2019-03-04,0.0,2021.0900000000001,inf
MSK,real,server,2019-03-05,0.0,1699.5999999999997,inf
MSK,real,server,2019-03-06,0.0,680.31,inf
MSK,real,server,2019-03-07,0.0,2703.56,inf
MSK,real,server,2019-03-08,0.0,1438.13,inf
MSK,real,server,2019-03-09,0.0,1253.29,inf
MSK,real,server,2019-03-10,0.0,5219.73,inf
MSK,real,server,2019-03-11,0.0,1998.58,inf
MSK,real,unknown,2019-03-03,0.0,0.0,
MSK,real,windows,2019-02-11,0.0,0.0,
MSK,real,windows,2019-02-12,0.0,0.0,
MSK,real,windows,2019-02-14,0.0,0.0,
MSK,real,windows,2019-02-15,0.0,1065.8,inf
MSK,real,windows,2019-02-16,0.0,0.0,
MSK,real,windows,2019-02-18,0.0,0.0,
MSK,real,windows,2019-02-20,0.0,0.0,
MSK,real,windows,2019-02-21,0.0,150.1,inf
MSK,real,windows,2019-02-22,0.0,0.0,
MSK,real,windows,2019-02-23,0.0,0.0,
MSK,real,windows,2019-02-24,0.0,0.0,
MSK,real,windows,2019-02-25,0.0,0.0,
MSK,real,windows,2019-02-26,0.0,0.0,
MSK,real,windows,2019-02-27,0.0,58.7,inf
MSK,real,windows,2019-02-28,0.0,0.0,
MSK,real,windows,2019-03-01,0.0,6.78,inf
MSK,real,windows,2019-03-02,0.0,0.0,
MSK,real,windows,2019-03-05,0.0,0.0,
MSK,real,windows,2019-03-06,0.0,0.0,
MSK,real,windows,2019-03-07,0.0,0.0,
MSK,real,windows,2019-03-08,0.0,0.0,
MSK,real,windows,2019-03-09,0.0,0.0,
MSK,real,windows,2019-03-10,0.0,0.0,
MSK_SPB,auto,android,2019-02-11,4.0,492.8700000000001,123.21750000000003
MSK_SPB,auto,android,2019-02-12,6.0,529.9,88.31666666666666
MSK_SPB,auto,android,2019-02-13,7.0,797.6600000000002,113.9514285714286
MSK_SPB,auto,android,2019-02-14,4.0,578.1200000000001,144.53000000000003
MSK_SPB,auto,android,2019-02-15,8.0,778.4299999999998,97.30374999999998
MSK_SPB,auto,android,2019-02-16,12.0,1185.7099999999998,98.80916666666666
MSK_SPB,auto,android,2019-02-17,5.0,561.76,112.352
MSK_SPB,auto,android,2019-02-18,17.0,1500.46,88.26235294117647
MSK_SPB,auto,android,2019-02-19,56.0,5196.880000000002,92.8014285714286
MSK_SPB,auto,android,2019-02-20,26.0,1809.48,69.59538461538462
MSK_SPB,auto,android,2019-02-21,20.0,2514.0300000000007,125.70150000000004
MSK_SPB,auto,android,2019-02-22,9.0,937.1999999999999,104.13333333333333
MSK_SPB,auto,android,2019-02-23,9.0,800.93,88.99222222222221
MSK_SPB,auto,android,2019-02-24,27.0,2495.1,92.41111111111111
MSK_SPB,auto,android,2019-02-25,22.0,1818.3700000000001,82.65318181818182
MSK_SPB,auto,android,2019-02-26,16.0,1225.4500000000003,76.59062500000002
MSK_SPB,auto,android,2019-02-27,32.0,2796.51,87.3909375
MSK_SPB,auto,android,2019-02-28,23.0,2119.64,92.15826086956521
MSK_SPB,auto,android,2019-03-01,20.0,1482.6,74.13
MSK_SPB,auto,android,2019-03-02,27.0,2206.6099999999997,81.72629629629628
MSK_SPB,auto,android,2019-03-03,51.0,3528.4599999999996,69.18549019607842
MSK_SPB,auto,android,2019-03-04,20.0,1942.35,97.11749999999999
MSK_SPB,auto,android,2019-03-05,17.0,1808.51,106.38294117647058
MSK_SPB,auto,android,2019-03-06,22.0,2077.06,94.41181818181818
MSK_SPB,auto,android,2019-03-07,15.0,1782.7399999999998,118.84933333333332
MSK_SPB,auto,android,2019-03-08,18.0,2076.66,115.36999999999999
MSK_SPB,auto,android,2019-03-09,23.0,2719.62,118.24434782608695
MSK_SPB,auto,android,2019-03-10,17.0,1475.44,86.79058823529412
MSK_SPB,auto,android,2019-03-11,8.0,694.5600000000001,86.82000000000001
MSK_SPB,auto,ios,2019-02-11,2.0,132.42,66.21
MSK_SPB,auto,ios,2019-02-12,1.0,60.6,60.6
MSK_SPB,auto,ios,2019-02-13,0.0,143.89,inf
MSK_SPB,auto,ios,2019-02-14,5.0,380.01000000000005,76.00200000000001
MSK_SPB,auto,ios,2019-02-15,6.0,592.2500000000001,98.70833333333336
MSK_SPB,auto,ios,2019-02-16,2.0,222.85000000000002,111.42500000000001
MSK_SPB,auto,ios,2019-02-17,2.0,417.67,208.835
MSK_SPB,auto,ios,2019-02-18,7.0,448.44000000000005,64.06285714285715
MSK_SPB,auto,ios,2019-02-19,0.0,163.24,inf
MSK_SPB,auto,ios,2019-02-20,2.0,118.09999999999998,59.04999999999999
MSK_SPB,auto,ios,2019-02-21,1.0,47.199999999999996,47.199999999999996
MSK_SPB,auto,ios,2019-02-22,0.0,11.53,inf
MSK_SPB,auto,ios,2019-02-23,0.0,11.3,inf
MSK_SPB,auto,ios,2019-02-24,1.0,22.23,22.23
MSK_SPB,auto,ios,2019-02-25,1.0,22.58,22.58
MSK_SPB,auto,ios,2019-02-26,0.0,35.08,inf
MSK_SPB,auto,ios,2019-02-27,0.0,23.51,inf
MSK_SPB,auto,ios,2019-02-28,0.0,17.9,inf
MSK_SPB,auto,ios,2019-03-01,0.0,28.01,inf
MSK_SPB,auto,ios,2019-03-02,0.0,27.11,inf
MSK_SPB,auto,ios,2019-03-03,0.0,14.94,inf
MSK_SPB,auto,ios,2019-03-04,0.0,19.82,inf
MSK_SPB,auto,ios,2019-03-05,1.0,27.35,27.35
MSK_SPB,auto,ios,2019-03-06,0.0,22.39,inf
MSK_SPB,auto,ios,2019-03-07,0.0,44.17,inf
MSK_SPB,auto,ios,2019-03-08,0.0,42.31,inf
MSK_SPB,auto,ios,2019-03-09,0.0,43.58,inf
MSK_SPB,auto,ios,2019-03-10,2.0,29.72,14.86
MSK_SPB,auto,ios,2019-03-11,1.0,7.43,7.43
